Date,Open,High,Low,Close,Volume
2025-01-02,9.43,9.45,8.97,9.3,9691109
2025-01-03,9.3,9.35,9.24,9.32,5626158
2025-01-06,9.38,9.75,9.34,9.74,10516842
2025-01-07,9.74,9.93,9.61,9.87,12689770
2025-01-08,9.88,10.07,9.78,9.9,10062023
2025-01-09,9.8,9.99,9.75,9.99,6268002
2025-01-10,9.99,10.07,9.88,9.94,9622174
2025-01-13,9.99,10.24,9.98,10.24,11181152
2025-01-14,10.3,10.52,10.28,10.35,10782620
2025-01-15,10.36,10.49,10.27,10.41,9054226
2025-01-16,10.5,10.55,10.28,10.33,8489433
2025-01-17,10.42,10.45,10.28,10.34,10761180
2025-01-20,10.39,10.5,10.31,10.43,7862909
2025-01-21,10.31,10.44,10.2,10.44,9820701
2025-01-22,10.5,10.5,10.27,10.35,7176815
2025-01-23,10.41,10.67,10.4,10.64,8579327
2025-01-24,10.7,10.76,10.62,10.72,7139255
2025-01-27,10.57,10.85,10.56,10.78,11539779
2025-01-28,10.77,10.98,10.72,10.94,8742447
2025-01-29,10.96,11.09,10.94,11.06,9158026
2025-01-30,11.27,11.44,11.07,11.22,10800220
2025-01-31,11.23,11.31,11.02,11.05,8492186
2025-02-03,10.56,10.85,10.48,10.74,18090245
2025-02-04,10.89,11.02,10.77,11.0,9371079
2025-02-05,11.0,11.13,10.98,11.03,6936527
2025-02-06,11.14,11.68,11.08,11.64,16823382
2025-02-07,11.61,11.69,11.52,11.65,8737455
2025-02-10,11.61,11.64,11.45,11.51,16082327
2025-02-11,11.5,11.7,11.45,11.7,6099237
2025-02-12,11.8,11.99,11.77,11.96,9364993
2025-02-13,11.99,12.0,11.85,11.95,9192918
2025-02-14,11.91,12.11,11.88,12.05,8610366
2025-02-17,12.03,12.21,12.02,12.19,6175146
2025-02-18,12.24,12.47,12.2,12.45,10223820
2025-02-19,12.4,12.49,12.1,12.12,9738118
2025-02-20,12.09,12.31,12.07,12.17,7704691
2025-02-21,12.15,12.31,12.1,12.29,8441612
2025-02-24,12.29,12.43,12.24,12.4,6461205
