Date,Open,High,Low,Close,Volume
2025-01-02,4.45,4.49,4.26,4.4,26408337
2025-01-03,4.4,4.42,4.38,4.4,22705900
2025-01-06,4.43,4.55,4.41,4.55,23517368
2025-01-07,4.53,4.61,4.47,4.59,29366993
2025-01-08,4.6,4.66,4.53,4.57,23072369
2025-01-09,4.52,4.58,4.51,4.57,12361303
2025-01-10,4.58,4.62,4.54,4.57,22857794
2025-01-13,4.54,4.59,4.5,4.59,18003296
2025-01-14,4.63,4.74,4.61,4.69,32113175
2025-01-15,4.71,4.8,4.67,4.77,31933071
2025-01-16,4.8,4.82,4.75,4.78,26226398
2025-01-17,4.8,4.84,4.76,4.8,27703716
2025-01-20,4.82,4.91,4.82,4.89,36915110
2025-01-21,4.81,4.86,4.77,4.79,23839972
2025-01-22,4.8,4.82,4.71,4.74,27007612
2025-01-23,4.74,4.86,4.73,4.85,17678767
2025-01-24,4.89,4.92,4.86,4.88,20830243
2025-01-27,4.83,4.92,4.82,4.9,23751293
2025-01-28,4.88,4.94,4.86,4.91,28896935
2025-01-29,4.94,5.01,4.91,5.01,34658787
2025-01-30,5.01,5.04,4.95,5.03,25017528
2025-01-31,5.03,5.03,4.95,4.96,19820553
2025-02-03,4.8,4.9,4.77,4.84,34812469
2025-02-04,4.88,5.0,4.83,4.99,25827815
2025-02-05,5.19,5.42,5.19,5.4,110472696
2025-02-06,5.42,5.64,5.41,5.63,66058382
2025-02-07,5.6,5.62,5.51,5.53,41594770
2025-02-10,5.51,5.55,5.48,5.48,27354948
2025-02-11,5.48,5.67,5.48,5.66,39496934
2025-02-12,5.67,5.79,5.65,5.77,44162700
2025-02-13,5.8,5.8,5.7,5.72,29778789
2025-02-14,5.72,5.81,5.68,5.79,41762765
2025-02-17,5.76,5.87,5.75,5.81,22274517
2025-02-18,5.82,5.97,5.81,5.96,40619863
2025-02-19,5.87,5.95,5.8,5.8,32059371
2025-02-20,5.8,5.92,5.78,5.82,39413774
2025-02-21,5.8,5.89,5.78,5.88,34048842
2025-02-24,5.9,6.0,5.88,5.95,49202019
2025-02-25,5.92,6.14,5.92,6.05,46958741
2025-02-26,6.07,6.23,6.07,6.23,33375845
2025-02-27,6.2,6.27,6.15,6.2,55538738
2025-02-28,6.16,6.23,6.08,6.22,62452266
2025-03-03,6.18,6.34,6.12,6.3,31959912
2025-03-04,6.17,6.2,5.89,5.92,51349193
2025-03-05,6.13,6.22,6.09,6.16,38969123
2025-03-06,6.26,6.35,6.17,6.31,49171661
2025-03-07,6.16,6.3,6.15,6.22,30631130
2025-03-10,6.24,6.28,5.91,5.95,45089752
2025-03-11,6.0,6.02,5.83,5.86,40956378
2025-03-12,5.95,6.08,5.93,6.0,32319443
2025-03-13,5.92,6.03,5.91,6.01,26485062
2025-03-14,5.98,6.24,5.92,6.21,37630092
2025-03-17,6.2,6.33,6.15,6.33,36775448
2025-03-18,6.33,6.59,6.33,6.58,57264709
2025-03-19,6.5,6.59,6.49,6.56,41123749
2025-03-20,6.55,6.58,6.31,6.4,39847499
2025-03-21,6.34,6.48,6.28,6.44,98618295
2025-03-24,6.5,6.61,6.49,6.5,28398468
2025-03-25,6.51,6.63,6.51,6.62,27078866
2025-03-26,6.63,6.66,6.5,6.5,24367771
2025-03-27,6.4,6.53,6.3,6.45,29719139
2025-03-28,6.37,6.43,6.28,6.32,30081507
2025-03-31,6.24,6.25,6.1,6.2,31557031
2025-04-01,6.23,6.37,6.19,6.32,25457408
2025-04-02,6.28,6.36,6.26,6.35,23452769
2025-04-03,6.14,6.18,5.99,6.02,54228206
2025-04-04,5.9,5.92,5.35,5.49,101128034
2025-04-07,4.64,5.52,4.64,5.24,120129181
2025-04-08,5.47,5.62,5.22,5.5,61699323
2025-04-09,5.28,5.47,5.25,5.36,51576911
2025-04-10,6.37,6.37,5.66,5.66,63808362
2025-04-11,5.67,5.71,5.51,5.59,26583954
2025-04-14,5.78,5.83,5.7,5.8,23822824
2025-04-15,5.82,6.03,5.82,6.01,75254251
2025-04-16,5.97,6.03,5.91,6.03,32782998
2025-04-17,6.01,6.03,5.91,5.94,29440530
2025-04-22,5.97,6.07,5.95,6.05,32702948
2025-04-23,6.16,6.34,6.16,6.32,72866381
2025-04-24,6.29,6.32,6.2,6.25,21640415
2025-04-25,6.31,6.42,6.29,6.42,71501779
2025-04-28,6.43,6.56,6.41,6.53,43510206
2025-04-29,6.5,6.53,6.38,6.43,28793861
2025-04-30,6.37,6.39,6.0,6.18,74223251
2025-05-02,6.26,6.34,6.21,6.34,36002038
2025-05-05,6.4,6.43,6.32,6.38,22761188
2025-05-06,6.39,6.44,6.26,6.35,20839214
2025-05-07,6.36,6.41,6.33,6.35,50070559
2025-05-08,6.39,6.56,6.36,6.56,68061588
2025-05-09,6.56,6.65,6.53,6.65,36699029
2025-05-12,6.68,6.79,6.68,6.76,32708258
2025-05-13,6.73,6.79,6.72,6.78,23079652
2025-05-14,6.8,6.9,6.75,6.9,43690301
2025-05-15,6.85,6.89,6.81,6.87,22033617
2025-05-16,6.89,6.92,6.84,6.91,28832179
2025-05-19,6.9,6.99,6.88,6.94,22839083
2025-05-20,6.95,7.09,6.87,7.04,36140996
2025-05-21,7.04,7.15,7.01,7.04,26381193
2025-05-22,7.0,7.09,6.87,7.07,25087439
2025-05-23,7.07,7.2,6.75,6.97,44073679
2025-05-26,7.06,7.1,7.02,7.06,29624703
2025-05-27,7.05,7.11,7.01,7.11,27277308
2025-05-28,7.09,7.14,7.03,7.03,27072509
2025-05-29,7.11,7.11,7.03,7.03,17158157
2025-05-30,7.03,7.11,6.96,7.03,53590400
2025-06-02,6.98,7.08,6.97,7.04,22429660
2025-06-03,7.03,7.07,6.9,7.0,23324156
2025-06-04,7.01,7.05,6.89,6.95,17347495
2025-06-05,6.97,7.06,6.91,7.05,18045880
2025-06-06,7.03,7.12,6.99,7.08,19535304
2025-06-09,7.04,7.09,7.03,7.08,13797577
2025-06-10,7.04,7.07,6.94,6.94,21888841
2025-06-11,6.95,7.02,6.92,6.96,20931432
2025-06-12,6.9,7.03,6.87,7.0,19128697
2025-06-13,6.85,6.89,6.81,6.86,25213452
2025-06-16,6.89,7.13,6.89,7.13,31554905
2025-06-17,7.07,7.08,6.88,6.94,24132683
2025-06-18,6.89,6.96,6.86,6.96,20808095
2025-06-19,6.92,6.94,6.79,6.8,19429003
2025-06-20,6.82,6.98,6.82,6.91,55590398
2025-06-23,6.88,6.96,6.8,6.86,19708254
2025-06-24,7.0,7.09,6.95,7.07,27221580
2025-06-25,7.08,7.08,6.86,6.9,19895867
2025-06-26,6.91,6.94,6.84,6.89,18452693
2025-06-27,6.93,7.04,6.89,7.04,20846038
2025-06-30,7.04,7.05,6.92,7.03,19668686
2025-07-01,7.03,7.07,6.93,6.97,15620463
2025-07-02,7.05,7.2,7.01,7.12,35840398
2025-07-03,7.14,7.25,7.06,7.25,25504547
2025-07-04,7.2,7.25,7.07,7.13,17153534
2025-07-07,7.12,7.3,7.12,7.3,21436746
2025-07-08,7.3,7.39,7.28,7.38,29819062
2025-07-09,7.39,7.55,7.39,7.55,31053946
2025-07-10,7.53,7.54,7.34,7.34,24243393
2025-07-11,7.31,7.33,7.17,7.21,16799768
2025-07-14,7.11,7.25,7.11,7.23,17880963
2025-07-15,7.28,7.3,7.09,7.14,14636373
2025-07-16,7.13,7.25,7.13,7.17,17207251
2025-07-17,7.22,7.29,7.21,7.29,14577670
2025-07-18,7.27,7.32,7.23,7.25,18054994
2025-07-21,7.23,7.3,7.17,7.28,14225152
2025-07-22,7.24,7.28,7.14,7.23,14243350
2025-07-23,7.3,7.39,7.26,7.38,22974227
2025-07-24,7.47,7.59,7.45,7.58,26668228
2025-07-25,7.53,7.62,7.5,7.59,16256498
2025-07-28,7.66,7.72,7.55,7.55,20472316
2025-07-29,7.61,7.8,7.59,7.72,34090279
2025-07-30,7.64,7.69,7.48,7.69,31293948
2025-07-31,7.7,7.75,7.51,7.54,35725077
2025-08-01,7.41,7.47,7.16,7.2,43001454
2025-08-04,7.29,7.49,7.26,7.48,19684572
2025-08-05,7.5,7.54,7.36,7.49,18763333
2025-08-06,7.54,7.61,7.49,7.61,17105999
2025-08-07,7.64,7.78,7.62,7.78,24457666
2025-08-08,7.79,7.95,7.78,7.95,27106103
2025-08-11,7.96,8.0,7.81,8.0,19951706
2025-08-12,8.0,8.06,7.95,8.02,20424787
2025-08-13,8.03,8.15,8.03,8.14,22508974
2025-08-14,8.13,8.22,8.11,8.22,20837073
2025-08-15,8.25,8.32,8.22,8.24,20486079
2025-08-18,8.2,8.23,8.09,8.2,15654911
2025-08-19,8.2,8.32,8.2,8.24,17730647
2025-08-20,8.18,8.21,8.1,8.17,15291431
2025-08-21,8.18,8.26,8.12,8.26,15945761
2025-08-22,8.22,8.32,8.21,8.32,15131083
2025-08-25,8.26,8.34,8.25,8.28,10437398
2025-08-26,8.16,8.2,8.09,8.15,36739905
2025-08-27,8.15,8.18,7.99,8.06,20680096
2025-08-28,8.12,8.27,8.1,8.23,19077378
2025-08-29,8.22,8.23,8.05,8.16,21419641
2025-09-01,8.19,8.2,8.11,8.2,10909249
2025-09-02,8.2,8.22,7.99,8.05,18274257
2025-09-03,8.05,8.09,7.99,8.08,14317072
2025-09-04,8.1,8.19,8.02,8.19,20100628
2025-09-05,8.2,8.25,8.05,8.09,18758770
2025-09-08,8.13,8.29,8.11,8.29,20458366
2025-09-09,8.29,8.32,8.18,8.32,17835524
2025-09-10,8.34,8.5,8.3,8.48,29798860
2025-09-11,8.48,8.54,8.4,8.54,22997149
2025-09-12,8.53,8.54,8.38,8.49,23727275
2025-09-15,8.53,8.63,8.51,8.61,20760204
2025-09-16,8.56,8.59,8.4,8.4,23014562
2025-09-17,8.42,8.46,8.37,8.39,18510581
2025-09-18,8.52,8.58,8.43,8.53,23117647
2025-09-19,8.59,8.73,8.54,8.65,96935853
2025-09-22,8.65,8.69,8.51,8.55,21979066
2025-09-23,8.6,8.7,8.55,8.69,21782874
2025-09-24,8.66,8.79,8.57,8.74,31264194
2025-09-25,8.73,8.75,8.65,8.71,19752407
2025-09-26,8.75,8.88,8.72,8.85,20914585
2025-09-29,8.86,8.88,8.75,8.75,19780674
2025-09-30,8.77,8.88,8.75,8.87,19908172
2025-10-01,8.83,8.91,8.72,8.82,22854206
2025-10-02,8.86,8.87,8.66,8.66,23541205
2025-10-03,8.75,8.83,8.71,8.75,15431949
2025-10-06,8.72,8.79,8.61,8.69,17676636
2025-10-07,8.61,8.7,8.58,8.6,19839479
2025-10-08,8.61,8.8,8.61,8.76,20024887
2025-10-09,8.72,8.75,8.61,8.65,14303075
2025-10-10,8.64,8.76,8.52,8.52,19949700
2025-10-13,8.61,8.68,8.57,8.62,13336681
2025-10-14,8.54,8.56,8.43,8.52,22539068
2025-10-15,8.57,8.64,8.48,8.48,18250080
2025-10-16,8.49,8.58,8.42,8.58,18745326
2025-10-17,8.18,8.41,8.1,8.29,56752377
2025-10-20,8.45,8.51,8.37,8.44,40503665
2025-10-21,8.48,8.5,8.36,8.36,46461909
2025-10-22,8.36,8.47,8.34,8.39,29811260
2025-10-23,8.41,8.47,8.36,8.39,13233829
2025-10-24,8.43,8.47,8.31,8.37,17105426
2025-10-27,8.42,8.55,8.41,8.51,27482152
2025-10-28,8.5,8.64,8.48,8.61,31031001
2025-10-29,8.61,8.99,8.55,8.98,58187805
2025-10-30,8.96,8.96,8.6,8.75,31127250
2025-10-31,8.79,8.85,8.72,8.83,20602993
